Filename: 26, Validation Accuracy: 0.7345454692840576, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010100011011110001000010001110000010110101010100110010100010101100111110000101001110001011110010110']
Filename: 57, Validation Accuracy: 0.7345454692840576, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000100100011100000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 63, Validation Accuracy: 0.7345454692840576, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100100111010111110110000011010011011011101110000010000101011010001011111100101101100110011111001010000011110000111000000000110110']
Filename: 123, Validation Accuracy: 0.7345454692840576, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110110110000101010110011011100000010101011010000011011010010010110101101101110100000001001001001101110100111']
Filename: 21, Validation Accuracy: 0.7309091091156006, Binary: ['000100011000101001101110100110000010111000101110000110100010111110101010010110101100010110100100000111010001011110110010011110110111000000000000110010000001110101000111101001101011110101000000100010010110001']
Filename: 66, Validation Accuracy: 0.7309091091156006, Binary: ['000011011000010101010001010001111100010111101011100100100111010101010000101010101100000001001110100001000000000001111101011001000110000111101110110110010101000010110101101101110100000001001001001101110100111']
Filename: 28, Validation Accuracy: 0.7272727489471436, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111001001011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111001100']
Filename: 36, Validation Accuracy: 0.7272727489471436, Binary: ['000011001111000000011101110100000010010011111001100001010010001100111010101111100010101011001100010110111110001001111001011101111110101110100110111100111001111110011111110000000000111101111100100000100100000']
Filename: 238, Validation Accuracy: 0.7272727489471436, Binary: ['010000010011001110011010011010111011101111001001100110100101111010010010111000110110001001010100001100111100110011001101100011000011100000101010100100101110011011111101000101000110101110100111100111000001110']
Filename: 8, Validation Accuracy: 0.7236363887786865, Binary: ['000011011000010101010001010001111100010111101011100100100111010110000011100011010010111010011100110001110110000101010110011011100000010101011010000011011010011100111111000101000000011001001010110000000110001']
Filename: 11, Validation Accuracy: 0.7236363887786865, Binary: ['001010101101111100101111100110100100011000010000001110111011110100110011101011000101011111111011110110001011001110010001000101111101100000010000100101010010101000101101000111111001101011101100001100100110110']
Filename: 22, Validation Accuracy: 0.7236363887786865, Binary: ['010001101111000001001111011100001011111101101011111110010000100000000001001110000111010100101001111000010101001101011101011000110011010110000101000001001001010010110001000101100100011111001101000110000011111']
Filename: 38, Validation Accuracy: 0.7236363887786865, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111010100010010101010000111000010111011111001101101011110010011001011011011110110001111100011010100100010110110101110011000100001']
Filename: 48, Validation Accuracy: 0.7236363887786865, Binary: ['010100100100010111000111010111111010001111100100011111101001101001000110100000010010111011110001100010100001000000100000111011011000011000111001010111110001110101000010000001000111110110000100010101110010110']
Filename: 4, Validation Accuracy: 0.7200000286102295, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111001100']
Filename: 23, Validation Accuracy: 0.7200000286102295, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 49, Validation Accuracy: 0.7200000286102295, Binary: ['001101010011110101001001111000000110111000100110010110111111011100111100111110100000011110110000010111001111101010101001001010001001011011001110111010100100010110001011000111000010101100111011101111101011111']
Filename: 56, Validation Accuracy: 0.7200000286102295, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111010100010010101010000110000000001111101000100001101010100110110100111101011010110110101011011111111011111100101101000000110110']
Filename: 67, Validation Accuracy: 0.7200000286102295, Binary: ['011100101110100100101110110111101000110010101111101000000001001011110100111001100011011111101010111001101001011000110010011110110111000000000000110010000001110101000111101001101011110101000000100010010110001']
Filename: 72, Validation Accuracy: 0.7200000286102295, Binary: ['001010101101111100101111100110101000110010101111101000000001001011110100111001100011011111101010111001101001011000111010010110111111110011100001110010001011110101111001011100110011101110100000001000100110000']
Filename: 76, Validation Accuracy: 0.7200000286102295, Binary: ['000001001011111101100110111010101110000011110100100000000000101000010110101010001110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010011010010110100111100111000111000']
Filename: 97, Validation Accuracy: 0.7200000286102295, Binary: ['000111111100001000100010111100101111110001111101100001010010001100111010101111100010101011001100010110111110001001111001011101111110101110100110111100111001111110011111110000000000111101111100100000100100000']
Filename: 32, Validation Accuracy: 0.7163636088371277, Binary: ['001100110001110111110000111101110010111001010100100000000000101000010110101010001110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010011010010110100111100111000111001']
Filename: 84, Validation Accuracy: 0.7163636088371277, Binary: ['001000011100000010111000100001110010111011010010100001110110000111010101110001111000110110101101001011100100011011111001111001011010101000110100011001011001111101001110010100110110110110001110101001100000110']
Filename: 102, Validation Accuracy: 0.7163636088371277, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011011000101011111110110111001110110000101010110011011100000010101011010000011011010011100111111000101000001010111011111010011110110110']
Filename: 121, Validation Accuracy: 0.7163636088371277, Binary: ['000011001111000000011101110100000010010011111001100001010010001100111010101111100010101011001100010110111110001001111001011101111110101110100110111100111001111110011111110000000000111101111100010101111000101']
Filename: 3, Validation Accuracy: 0.7127272486686707, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111010100010010101010000110000000001111101000100001101010100110110100111101011010110110101011011111111011111100101101000010110010']
Filename: 6, Validation Accuracy: 0.7127272486686707, Binary: ['000101011010101101110111100100000010100010100101010110010111101001100010100100000011010100101111110001001011100100110111000000010101110011010001010110011110010010010110100101101100010101001111000011100110100']
Filename: 17, Validation Accuracy: 0.7127272486686707, Binary: ['001000011100000010111000100001110010111011010010100001110110000111010101110001111000110110101101001011100100011011111001111001011010101000110100011001011001111101001110010100110110110110001110101001100000001']
Filename: 30, Validation Accuracy: 0.7127272486686707, Binary: ['001100110001110111110000111101110010111001010100100000000000101000010110101010001110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010011010010110100111100111000111000']
Filename: 37, Validation Accuracy: 0.7127272486686707, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010100011011110001000010001110000010110101010100110010100010101100111101100010010100101000010000111']
Filename: 62, Validation Accuracy: 0.7127272486686707, Binary: ['000101011010101101110111100100000010100010100101010110010111101001100010100100000011010100101111110001001011100100110111000000010101110011010001010110000101101011001111011010010100101100000101101011111011000']
Filename: 79, Validation Accuracy: 0.7127272486686707, Binary: ['001011101001000010111000100100110011111101010011000101111011110001010000101010101100000001001110100001000000000001111101011001000110000111101110110110010101000010110101101101110100000010000100010101111000101']
Filename: 85, Validation Accuracy: 0.7127272486686707, Binary: ['000100010100001100100000100001011111001000001011000000111111011100111100111110100000011110110000010111001111101010101001001010001001011011001110111010100100010110001011000111000010101100111011101111101011111']
Filename: 92, Validation Accuracy: 0.7127272486686707, Binary: ['000100011000101001101110100110000010111000101110000110100010111110101010010110101110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010011010010110100111100111000111000']
Filename: 96, Validation Accuracy: 0.7127272486686707, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100101101011110101000000100010010110001']
Filename: 100, Validation Accuracy: 0.7127272486686707, Binary: ['000110111100001000000010111100101111110001111101100010010100111110101111100111101000000100110001011000010001001100100001111001010010001111001001100110001101110010010000111010011010010110100111100111000111001']
Filename: 111, Validation Accuracy: 0.7127272486686707, Binary: ['110101001100011111001111001100111111110111101011100100100111010110000011100011010010111010011100110001110110000101010110011011100000010101011010000011011010011100111111000101000000011001001010110000000100111']
Filename: 115, Validation Accuracy: 0.7127272486686707, Binary: ['000010011111100010010101011110101100010110001111100111100001100001001100101100110111101011101000110110111010000000011111001111001101000101001100010101101111101011001001010101111110010001010000001110001101110']
Filename: 146, Validation Accuracy: 0.7127272486686707, Binary: ['010100100100010111000111010111111010001111100100011111101001101001000110100000010010111011110001100010100001000000100000111011010111000000000000110010000001110101000111101001101011110101000000100010010110001']
Filename: 186, Validation Accuracy: 0.7127272486686707, Binary: ['000010100100110101000110111001101010011000001011000000000000100110111110101001001001011101010011100101101000001101101110010000110000100000101011011110011000010011010001111011011101101101100111110001110011100']
Filename: 213, Validation Accuracy: 0.7127272486686707, Binary: ['000110111100101111000111100100101101100011011111100111100001110101100100101001011001110110101000111001110011000001111011111101011101111011110011000010011001110111010000111101010100011011001101101010101010001']
Filename: 47, Validation Accuracy: 0.7090908885002136, Binary: ['000010011111100010010101011110101100010110001111100111100001100001001100110001111000110110101101111000110010010011100000011011101001001000101100010100001010000010110101101101110100000001001001001101110100111']
Filename: 70, Validation Accuracy: 0.7090908885002136, Binary: ['000101011010101101110111100100000010100010100101010110010111101001100010100100000011010100101111110001001011100100110111000000010101110010000010000011000010111011001001011010001100010101001111000011100110100']
Filename: 114, Validation Accuracy: 0.7090908885002136, Binary: ['001100110001110111110000111101110010111001010100100000000000101000010110101010001110001011101111001100100011011011110110100010010111010000010011110011010010001110000010101001011101101101111001010010001001111']
Filename: 135, Validation Accuracy: 0.7090908885002136, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100100111010111110110000011010011011011101110000010000101011010001010110011110010010010110100101101100010101001111000011100110100']
Filename: 136, Validation Accuracy: 0.7090908885002136, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100100111010111110110000011010011011011101110000010000101011010001010110011110010010010110100101101100010101001111000011100110100']
Filename: 253, Validation Accuracy: 0.7090908885002136, Binary: ['000100001010011010010110010010100011001111111101100001110111001001110001111000101000001000011010110000001111111010100010111111110000110100010111100100100001110000111100000001001111001000100100110001101010011']
Filename: 2, Validation Accuracy: 0.7054545283317566, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000111011110011101010']
Filename: 13, Validation Accuracy: 0.7054545283317566, Binary: ['000001001011111101100110111010101110000011110011110001100000011100010011111011010001001011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111000000']
Filename: 39, Validation Accuracy: 0.7054545283317566, Binary: ['001101010011110101001001111000000110110010000111100010100001111001000101001110110010010111000010001011100100010110001111011110100010101101101100101010000011000010001010011011011110000101001110001011110010110']
Filename: 43, Validation Accuracy: 0.7054545283317566, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100100111010111110110000011010011011011101110000010000101011010001010110011110010010010110100101101100010101001111000011100110100']
Filename: 50, Validation Accuracy: 0.7054545283317566, Binary: ['010011011001001010110001011010000110010001011110101001010111000001110101110001101000000111110100010000100000100100011100101001011011011011100110001110000101101011001111011010010100101100000101001101110100111']
Filename: 53, Validation Accuracy: 0.7054545283317566, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000111011110011100101']
Filename: 83, Validation Accuracy: 0.7054545283317566, Binary: ['001000011100000010111000100001110010111011010010100001110110000111010101110001111000110110101101001011100100011011111001111011100000010101011010000011011010011100111111000101000000011001001010110000000110001']
Filename: 94, Validation Accuracy: 0.7054545283317566, Binary: ['010001101111000001001111011100001011111101101011111110010000100000000001001111100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 98, Validation Accuracy: 0.7054545283317566, Binary: ['000111111100001000100010111100101111110001111101100010010100111110101111100111101000000100110001011000010001001100100001111000110011010110000101000001001001010010110001000101100100011111001101000110000011111']
Filename: 113, Validation Accuracy: 0.7054545283317566, Binary: ['001100110001110111110000111101110010111001010100100000000000101000010110101010001110001011101111001100100011011011110110100010010111010001010101010110011110010010010110100101101100010101001111000011100110100']
Filename: 116, Validation Accuracy: 0.7054545283317566, Binary: ['000010011111100010010101011110101100010110001111100111100000001001110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 120, Validation Accuracy: 0.7054545283317566, Binary: ['001010101101111100101111100110100100011000010000001110111011110100110011101011000101011111110110111001110110000101010110011011100000010101011010110110010101000010110101101101110100000001001001001101110100111']
Filename: 126, Validation Accuracy: 0.7054545283317566, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111010100010010101010000111000010111011111001011010001110001011110110001100011000101100110000101101100001101100001000011110001011']
Filename: 132, Validation Accuracy: 0.7054545283317566, Binary: ['001011101001000010111000100100110011110010110111010101100101101100001001110001000001001001100011111101101111101111000001101011110011101000110001011111101000010100011010001000111010101001001000101100111001100']
Filename: 147, Validation Accuracy: 0.7054545283317566, Binary: ['001101010011110101001001111001111100010111101011100100100111011001000110100000010010111011110001100010100001000000100000111011011000011000111001010111110001110101000010000001000111110110000100010101111000101']
Filename: 270, Validation Accuracy: 0.7054545283317566, Binary: ['001100010011001100000011101001001111001010010111101010100100000001001111101011101110001011110000001111101101110111110011111011001100010010101001110010100110100100100011011011000101101011000111011111011010111']
Filename: 299, Validation Accuracy: 0.7054545283317566, Binary: ['000011100000110011011111000011001111001110111110010100001110001000100101000110110101011100010010000111011000001011100111010000001100001110101110111110001101010111111011000000101110110011100101011000111011000']
Filename: 10, Validation Accuracy: 0.7018181681632996, Binary: ['000101011010101101110111100100000010100010100101010110010111101001100010100100000011010100101111110001001011100100110111000000010101110010000010000011000010111011001001011010001101010111011100001100100110110']
Filename: 14, Validation Accuracy: 0.7018181681632996, Binary: ['010100100100010111000111010111111010001111100100011111101001101001000110100000010010111011110001100010100001000000100000111011011000011000111001010111110001110101000010000001000111110110000100010101111000101']
Filename: 25, Validation Accuracy: 0.7018181681632996, Binary: ['000110111100001000000010111100101111110001111101100010010100111110101111100111101000000100110001011000010001001100100001111001010010001111001001100110001101110010010000111010010100111001010010011100000111000']
Filename: 27, Validation Accuracy: 0.7018181681632996, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010011101110001011010001110001011110110001100011000101100110000101101100001101100001000011110001011']
Filename: 73, Validation Accuracy: 0.7018181681632996, Binary: ['000101011001001100111001010101011100001000101010010100111110111000111001011101100111010100101100001111010011001100011111001111001101000101001100010101101111101011001001010101111110010001010000001110001101110']
Filename: 75, Validation Accuracy: 0.7018181681632996, Binary: ['000001001011111101100110111010101110000011110011110001100000011100110101110001101000000111110100010000100000100100011100101001011011011011100110001110000101101011001111011010010100101100000101101011111011000']
Filename: 77, Validation Accuracy: 0.7018181681632996, Binary: ['010100100100010111000111010111111010001111100100011111101001101001000110100000010010111011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111001100']
Filename: 82, Validation Accuracy: 0.7018181681632996, Binary: ['001010101101111100101111100110100100011000010000001110111011110100110011101011000101011111110110111001110110000101010110011011100000101000110001011111101000010100011010001000111010101001001000101100111001100']
Filename: 86, Validation Accuracy: 0.7018181681632996, Binary: ['000100010100001100100000100001011111001000001011000000100011111110001011010101101101010011010100000100010000000011011010000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 93, Validation Accuracy: 0.7018181681632996, Binary: ['010001101111000001001111010111111010001111100100011111101001011000000111100010111001001011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111001100']
Filename: 103, Validation Accuracy: 0.7018181681632996, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010011101110001011010001110001011110110001100011000101100110000101101100001101010010011100000111000']
Filename: 134, Validation Accuracy: 0.7018181681632996, Binary: ['000101011010101101110111100100000010100010100101010110010111101001100010100100000011010100101111110001001011100100110111000000010101110010000010000011000010111011001001011010001101010111011111010011110100111']
Filename: 153, Validation Accuracy: 0.7018181681632996, Binary: ['110011011011100000010110010010110000110100100110110101000111101101101001100101111110000000101111110111101110110010011101110011111111110000001010011001101000000100010110100100000111000110010000101000000111100']
Filename: 267, Validation Accuracy: 0.7018181681632996, Binary: ['101101101001001110111000111000001110011011110010101111110000111100011110111000100011001001010101010100011000010010111110111100001101001001011100011100101010000010011100110111010111110100100111001110011001011']
Filename: 15, Validation Accuracy: 0.6981818079948425, Binary: ['001011101001000010111000100100110011111101010011000101111011110001010000101010101100000001001110100001000000000001111101011001000110000111101110110110010101000010110101101101110100000001001001001101110100111']
Filename: 20, Validation Accuracy: 0.6981818079948425, Binary: ['001011011011110111011110101010000110010001011110101001010111000001110101110001101000000111110100010000100000100100011100000111011101111100011001111110111001010010111000100100011011010110000100010101111000101']
Filename: 35, Validation Accuracy: 0.6981818079948425, Binary: ['001010101101111100101111100110100100011000010000001110111011110100110011101011000101011111110110111001110110000101010110011011100000010101011010000011011010011100111111000101000001010111011111010011110110110']
Filename: 52, Validation Accuracy: 0.6981818079948425, Binary: ['000011011000010101010001010001111100010111101011100100100111011001000110100000010010111011110001100010100001000000100000111011011000011000111001010111110001110101000010000001000111110110000100010101001001111']
Filename: 54, Validation Accuracy: 0.6981818079948425, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111100011100001011110110110111100010000000011011010000111011101111100011001111110111001010010111000010010011010010110100111100111000111001']
Filename: 60, Validation Accuracy: 0.6981818079948425, Binary: ['100101011001100110110001011110001001110001100000110001100000011100010011111011010001001011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111000000']
Filename: 71, Validation Accuracy: 0.6981818079948425, Binary: ['001010101101111100101111100110100100011000010000001110111011110100110011101011000101011111111011110110001011001110010001000101111101100000010000100101001000010100011010001000111010101001001000101100111001100']
Filename: 119, Validation Accuracy: 0.6981818079948425, Binary: ['001010101101111100101111100110100100011000010000001110111001100001001100101100110111101011101000110110111010000000011111001111001101000101001100010101101111101011001001010101111110010001010000001110001101110']
Filename: 128, Validation Accuracy: 0.6981818079948425, Binary: ['001101010011110101001001111000000110110010000111100010100001111001000101001110110010010111000010001011100100010110001111011110100010101101101100101010000011000010001010011011011110000101001110001011110010110']
Filename: 131, Validation Accuracy: 0.6981818079948425, Binary: ['001011101001000010111000100100110011111101010011000101111011110001010000101010101000110001110010100110010110010011101110001011010001110001011110110001100011000101100110000101101100001101100001000011110001011']
Filename: 149, Validation Accuracy: 0.6981818079948425, Binary: ['010011011001001010110001011010000110010001011110101001010111000001110101110001101000000111110100010000100000100100011100101001011011011011100110001110000101101011001111011010010100010110000100010101111000101']
Filename: 1, Validation Accuracy: 0.6945454478263855, Binary: ['000011011000010101010001010001111100010111101011100100100111011001000110100000010010111011110001100010100001000000100000111011011000011000111001010111110001110101000010000001000111110110000100010101111000101']
Filename: 34, Validation Accuracy: 0.6945454478263855, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111000000111101100100111100000100001000000000011111001111001100100110000010010011010001111100000011000101110001001101011011001101101001000']
Filename: 45, Validation Accuracy: 0.6945454478263855, Binary: ['111010111010100100111110011010111110010001011110101001010111000001110101110001101000000111110100010000100000100100011100101001011011011011100110001110000101101011001111011010010100101100000101101011111011000']
Filename: 46, Validation Accuracy: 0.6945454478263855, Binary: ['001100110001110111110000111101110010111001010100100000000000101000010110101010001110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010001101010111011111010011110110110']
Filename: 51, Validation Accuracy: 0.6945454478263855, Binary: ['000011011000010101010001010001111100010111101011100100100111011001000110100000010010111011110001100010100001000000100000111011011000011000111001010111110001110101000010000001000111111001001000101100111001100']
Filename: 61, Validation Accuracy: 0.6945454478263855, Binary: ['000101011010101101110111100100000010100010100101010110010111101001100010100100000011010100101110110000011010011011011101110000010000101011010001010110011110010010010110100101101100010101001111000011100110100']
Filename: 89, Validation Accuracy: 0.6945454478263855, Binary: ['001011011011110111011110101010000110010001011110101001010111000001110101110001101000110110101101001011100100011011111001111001011010101000110100011001011001111101001110010100110110110110001110101001100000001']
Filename: 91, Validation Accuracy: 0.6945454478263855, Binary: ['000100011000101001101110100110000010111000101110000110100010111110101010010110101100010110100100000111010001011110110010011110110111000000000000110010000001110101000111101001101011110101000111011110011101010']
Filename: 112, Validation Accuracy: 0.6945454478263855, Binary: ['110101001100011111001111001100111111110111101011100100100111010110000011100011010010111010011100110001110110000101010110011011100000010101011010000011011010011100111111000101000000000001001001001101110100111']
Filename: 117, Validation Accuracy: 0.6945454478263855, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111000000111101100100111100000100001000000000011111001101101011110010011001011011011110110001111100011010100100010110110101110011000100001']
Filename: 150, Validation Accuracy: 0.6945454478263855, Binary: ['010011011001001010110001011010000110010001011110101001010111000001110101010101101101010011010100000100001000000000011111001111001101000101001100010101101111101011001001010101111110010001010000001110001101110']
Filename: 286, Validation Accuracy: 0.6945454478263855, Binary: ['000111111001100011100000101000001000010100110001001110101001110010000000111110011100011111100110110010101011000010011110010111001110011111001110001011001001101101011001111111110100011101001100111011011010111']
Filename: 33, Validation Accuracy: 0.6909090876579285, Binary: ['000010011111100010010101011110101100010110001111100111100001100001001100101100110111101011101000110110111010000000011111001111001101000101001100010101101111101011001001010101111110010001010000001110001101110']
Filename: 118, Validation Accuracy: 0.6909090876579285, Binary: ['001101100100110101110110111100010100000010001011010010100000001001110111000000111101100100111100000100001000000000011111001111001100100110000010010011010001111100000011010100110110110110001110101001100000001']
Filename: 124, Validation Accuracy: 0.6909090876579285, Binary: ['011010010011011001001110011001110010110011111011010101010111101001100011011010010110110001110010100110010110010100011011110001000010001110000010110101010011000010001010011011011110000101001110001011110010110']
Filename: 12, Validation Accuracy: 0.6872727274894714, Binary: ['000101011001001100111001010101011100001000101010010100111110111000111001011101100111010100101100001111010011001111101011111000101111100110010011110011010010001110000010101001011101101101111001010010001001111']
Filename: 55, Validation Accuracy: 0.6872727274894714, Binary: ['010100100100010111000111010111111010001111100100011111101001011000000111100010111010100010010101010000110000000001111101000100001101010100110110110001100011000101100110000101101100001101100001000011110001011']
Filename: 69, Validation Accuracy: 0.6872727274894714, Binary: ['000101011010101101110111100100000010101000010000001110111011110100110011101011000101011111110110111001110110000101010110011011100000010101011010000011011010010010110101101101110100000001001001001101110100111']
Filename: 78, Validation Accuracy: 0.6872727274894714, Binary: ['010100100100010111000111011101110010111001010100100000000000101000010110101010001110001011101111001100100011011011110110100010010111010001010101010111101001010011101010010010001101010111011111010011110110110']
Filename: 90, Validation Accuracy: 0.6872727274894714, Binary: ['001011011011000010111000100100110011111101010011000101111011110001010000101010101000000100110001011000010001001100100001111001010010001111001001100110001101110010010000111010010100111001010010011100000111000']
Filename: 110, Validation Accuracy: 0.6872727274894714, Binary: ['001100110001110111110000111101110010111001010100100000000111000001110101110001101000000111110100010000100000100100011100101001011011011011100110001110000101101011001111011010010100101100000101101011111011000']
Filename: 138, Validation Accuracy: 0.6872727274894714, Binary: ['001100110001110111110000111101110010111001010100100000000000101000010110101010001111001011110010100111010000111110010101101011110011101000110001011111101000010100011010001000111010101001001000101100111001100']
Filename: 151, Validation Accuracy: 0.6872727274894714, Binary: ['000011000001011111011001110000001110011110110111101011011010011010111101111100001010000011010100000110100101011010011111110010100010101101101101101101110101100001001100001101100111011011110110011111110010101']
Filename: 157, Validation Accuracy: 0.6872727274894714, Binary: ['011011011110110110110000111111000100001001011010000011101111001011011100000110111111011011101010110011111011010000110001111111010101011100000100000000011000011010010010001010001011001000000000100001010101100']
Filename: 269, Validation Accuracy: 0.6872727274894714, Binary: ['000111001011100100111010100110101010010001101111001111001101101110111111100101101111110011111010001111101111011100001100010111001011010101110100001010011110101110111110010011111001001110111110100101001101100']
Filename: 280, Validation Accuracy: 0.6872727274894714, Binary: ['001001000000101101001001111010000110000011111101000111101011010000000111111111001101001110011010101010010010110000111100001011010110000000001100000101001111001010101110011001100001111011011001011000010110100']
Filename: 7, Validation Accuracy: 0.6836363673210144, Binary: ['000011011000010101010001010001111100010111101011110111111011010010100001010111100100111010111110110000011010011011011101110000010000101011010001010110011110010010010110100101101100010101011000111111011111001']
Filename: 24, Validation Accuracy: 0.6836363673210144, Binary: ['000111111100001000100010111100101111110001111101100010010100111110101111100111101000000100110001011000010001001100100001111001010010001111001001100110001101110010010000111010010100111001010010011100000111000']
Filename: 41, Validation Accuracy: 0.6836363673210144, Binary: ['001011101001000010111000100100110011111101010011000101111011110001010000101010101000000100110001011000010001001100100001111001010010001111001001100110001101110010010000111010010100111001010010011100000111000']
Filename: 106, Validation Accuracy: 0.6836363673210144, Binary: ['010100100100101001101110100110000010111000101110000110100010111110101010010110101100010110100100000111010001011110110010011110110111000000000000110010000001110101000111101001101011110101000000100010010110001']
Filename: 144, Validation Accuracy: 0.6836363673210144, Binary: ['000010011111100010010101011110101100010110001111100111100001100001001100110110101100010110100100000111010001011110110010011110110111000000000000110010000001110101000111101001101011110101000000100010010110001']
